STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,geometry
08,069,001603,2,1500000US080690016032,80690016032.0,2,BG,329560,0,"POLYGON ((-105.030272 40.536657, -105.030264 40.537915, -105.020244 40.537821, -105.020254 40.535343, -105.021962 40.534227, -105.032018 40.534614999999995, -105.030272 40.536657))"
08,001,008533,1,1500000US080010085331,80010085331.0,1,BG,1199768,9570,"POLYGON ((-104.95689899999999 39.892072, -104.953642 39.89266, -104.950121 39.895643, -104.949559 39.895091, -104.94922 39.895278999999995, -104.947646 39.895604999999996, -104.945685 39.896248, -104.943011 39.895033999999995, -104.940183 39.893974, -104.940181 39.89226, -104.940181 39.892116, -104.940165 39.884978, -104.940325 39.884983, -104.94458 39.885008, -104.945923 39.885025, -104.946122 39.885027, -104.946588 39.885033, -104.957192 39.891819999999996, -104.95689899999999 39.892072))"
08,059,010402,1,1500000US080590104021,80590104021.0,1,BG,627887,0,"POLYGON ((-105.10016 39.794067999999996, -105.095791 39.795162, -105.086129 39.797502, -105.0861 39.791117, -105.098475 39.791105, -105.100129 39.791218, -105.10016 39.794067999999996))"
08,005,005611,4,1500000US080050056114,80050056114.0,4,BG,1056208,0,"POLYGON ((-104.98818 39.602295, -104.988176 39.602834, -104.98817 39.603639, -104.988075 39.609589, -104.986282 39.609592, -104.985838 39.609593, -104.985699 39.609593, -104.98542 39.609593, -104.97986 39.609604, -104.978742 39.609607, -104.977292 39.608491, -104.97501199999999 39.604272, -104.977716 39.600998, -104.97881 39.600921, -104.97774 39.599423, -104.97938 39.598676999999995, -104.984708 39.600538, -104.985156 39.600761, -104.986994 39.601377, -104.987846 39.601383, -104.987837 39.601785, -104.988184 39.601793, -104.98818 39.602295))"
08,031,000904,2,1500000US080310009042,80310009042.0,2,BG,269912,0,"POLYGON ((-105.048678 39.733070999999995, -105.044019 39.733035, -105.043865 39.728273, -105.04626999999999 39.728297, -105.046267 39.725728, -105.048501 39.725805, -105.048678 39.733070999999995))"
08,005,085500,2,1500000US080050855002,80050855002.0,2,BG,851746,0,"POLYGON ((-104.791661 39.614886, -104.772864 39.614968, -104.772966 39.60962, -104.776864 39.60955, -104.777495 39.609674999999996, -104.779866 39.610274, -104.791719 39.610638, -104.791661 39.614886))"
08,087,000500,2,1500000US080870005002,80870005002.0,2,BG,728935,0,"POLYGON ((-103.810865 40.248489, -103.806248 40.248478999999996, -103.80623 40.254003999999995, -103.80020999999999 40.253979, -103.798477 40.253986, -103.798511 40.248492, -103.792043 40.248503, -103.792068 40.246763, -103.801478 40.246656, -103.802777 40.246601, -103.802893 40.246593999999995, -103.804061 40.246531999999995, -103.806225 40.246514, -103.807942 40.246587999999996, -103.810841 40.246553999999996, -103.810845 40.246700000000004, -103.810854 40.247023999999996, -103.810865 40.248489))"
08,005,084200,2,1500000US080050842002,80050842002.0,2,BG,326796,0,"POLYGON ((-104.791361 39.644256, -104.791325 39.64597, -104.788143 39.645868, -104.787784 39.645793, -104.787662 39.641891, -104.78475399999999 39.639952, -104.784639 39.638507, -104.791471 39.638498, -104.791361 39.644256))"
08,041,005201,1,1500000US080410052011,80410052011.0,1,BG,857808,29021,"POLYGON ((-104.780495 38.825331, -104.768079 38.825356, -104.767829 38.819485, -104.767433 38.818349, -104.767995 38.818213, -104.773705 38.818134, -104.778377 38.817792, -104.78062800000001 38.8175, -104.780495 38.825331))"
08,101,002808,2,1500000US081010028082,81010028082.0,2,BG,5011439,1033,"POLYGON ((-104.699567 38.212998, -104.69403199999999 38.216353999999995, -104.676462 38.226824, -104.675735 38.224437, -104.672372 38.221233999999995, -104.672021 38.213684, -104.670971 38.210761999999995, -104.664964 38.210836, -104.662779 38.205857, -104.662731 38.203109999999995, -104.66199399999999 38.200404999999996, -104.66207 38.197178, -104.662277 38.196824, -104.663528 38.195675, -104.678583 38.203413, -104.680822 38.204566, -104.688509 38.208532999999996, -104.698713 38.208740999999996, -104.699567 38.212998))"
08,069,001804,1,1500000US080690018041,80690018041.0,1,BG,252925,0,"POLYGON ((-105.084493 40.429128, -105.083961 40.430468999999995, -105.081937 40.430471, -105.081149 40.425565, -105.0814 40.425065, -105.082382 40.42167, -105.084492 40.421672, -105.084493 40.429128))"
08,031,000301,1,1500000US080310003011,80310003011.0,1,BG,324467,0,"POLYGON ((-105.029941 39.776683999999996, -105.025275 39.776643, -105.025278 39.772926999999996, -105.025238 39.769287999999996, -105.029969 39.769402, -105.029941 39.776683999999996))"
08,005,006708,2,1500000US080050067082,80050067082.0,2,BG,587827,0,"POLYGON ((-104.913797 39.58054, -104.912023 39.580535999999995, -104.904267 39.580525, -104.904232 39.576564999999995, -104.904318 39.57328, -104.909468 39.575009, -104.912966 39.573696999999996, -104.913742 39.573706, -104.913797 39.58054))"
08,035,014008,3,1500000US080350140083,80350140083.0,3,BG,826465,0,"POLYGON ((-104.807985 39.527933, -104.803462 39.529018, -104.801692 39.530325999999995, -104.797868 39.531780999999995, -104.796397 39.531273, -104.795499 39.531254, -104.793582 39.532727, -104.793402 39.532737999999995, -104.793351 39.523938, -104.793635 39.523931, -104.795868 39.524274, -104.799854 39.523412, -104.802446 39.523458, -104.804573 39.524392, -104.80630000000001 39.526089, -104.807278 39.526886, -104.807985 39.527933))"
08,001,008706,2,1500000US080010087062,80010087062.0,2,BG,606424,0,"POLYGON ((-104.912667 39.827193, -104.903284 39.827228, -104.903451 39.819452, -104.908105 39.819426, -104.909567 39.821945, -104.912747 39.821922, -104.912667 39.827193))"
